state,year,yield,avg_temp_C,max_temp_C,min_temp_C,total_precip_mm,avg_precip_mm,hot_days,dry_days,flooding_days
ILLINOIS,2005,46.5,28.029764836601327,36.79556000000002,10.09295000000003,351.39185920332,2.296678818322353,2.0,88,0.0
INDIANA,2005,49.0,27.139370588235316,34.91238000000004,10.429500000000019,419.30888130909,2.7405809235888237,0.0,90,2.0
IOWA,2005,52.5,26.67374098039218,35.29424,8.724700000000041,400.70676408609,2.6189984580790195,1.0,92,2.0
KANSAS,2005,37.0,29.81176058823532,37.969780000000014,12.986000000000047,390.994897765308,2.555522207616392,16.0,88,3.0
MINNESOTA,2005,45.5,24.188087320261456,32.77953000000002,6.2006000000000085,460.882342863988,3.0123028945358694,0.0,72,1.0
MISSOURI,2005,37.0,29.13878947712421,37.87365,12.563840000000027,411.28542866032,2.6881400566033986,8.0,89,2.0
NEBRASKA,2005,50.5,28.200835424836626,37.6499,10.414540000000045,386.8844961151137,2.528656837353684,7.0,97,3.0
OHIO,2005,45.0,26.18585398692813,33.50897000000003,9.392240000000015,412.728817712213,2.6975739719752485,0.0,90,4.0
SOUTH DAKOTA,2005,35.0,26.136712222222243,37.53747000000004,7.063130000000001,422.78821409278,2.763321660737124,5.0,94,2.0
WISCONSIN,2005,44.0,24.60102640522878,33.47344000000004,6.171600000000012,388.1900193579926,2.5371896690064877,0.0,91,1.0
ILLINOIS,2006,48.0,26.45982575163401,35.24883,11.668540000000007,449.560837680637,2.9383061286316146,2.0,84,1.0
INDIANA,2006,50.0,25.141520653594792,33.12222000000003,11.84164000000004,559.07346363926,3.6540749257467975,0.0,78,5.0
IOWA,2006,50.5,25.900789019607867,36.01455000000004,12.380550000000028,385.53312790588,2.5198243653979087,2.0,83,1.0
KANSAS,2006,32.0,29.70742032679741,39.70760000000001,13.952750000000037,361.202627746104,2.3608014885366275,25.0,90,1.0
MINNESOTA,2006,44.5,24.272918758169954,35.33294000000001,9.996880000000033,381.37567775568,2.4926514885992157,2.0,78,1.0
MISSOURI,2006,38.0,28.47309849673205,37.21893,15.477700000000027,369.390258547847,2.4143154153454054,14.0,91,2.0
NEBRASKA,2006,50.0,28.121813464052313,40.11376000000001,13.380730000000028,318.561420303403,2.0821007862967518,13.0,99,1.0
OHIO,2006,47.0,24.46187071895427,32.78005000000002,11.749050000000011,527.131688350096,3.4453051526150067,0.0,79,4.0
SOUTH DAKOTA,2006,34.0,26.2441969281046,38.88326000000001,11.202420000000018,309.63120227707,2.0237333482161435,7.0,93,1.0
WISCONSIN,2006,44.0,23.76791679738564,34.963220000000035,6.627560000000017,433.372427929848,2.832499528953255,0.0,74,1.0
ILLINOIS,2007,43.5,28.523947450980415,35.053830000000005,17.962850000000003,351.0095218470471,2.294179881353249,1.0,89,1.0
INDIANA,2007,46.0,27.998197973856232,34.22415000000001,15.952539999999999,322.74772407252,2.10946224884,0.0,97,0.0
IOWA,2007,52.0,26.800214379084988,34.28417000000002,15.115470000000016,512.37531623748,3.3488582760619607,0.0,92,4.0
KANSAS,2007,33.0,29.40203189542486,37.856700000000046,20.098400000000026,402.72345457374,2.6321794416584314,14.0,84,3.0
MINNESOTA,2007,42.5,25.121486078431396,34.97476,13.475120000000004,490.025718360161,3.202782472942229,0.0,73,1.0
MISSOURI,2007,37.5,29.201992679738588,38.312400000000025,18.991540000000043,382.327952435373,2.498875506113549,9.0,85,2.0
NEBRASKA,2007,51.0,27.890164771241853,35.638120000000015,17.597560000000044,429.1894895946176,2.805160062709919,4.0,95,3.0
OHIO,2007,47.0,26.95675254901963,33.64285000000001,14.11712,338.0575512735595,2.209526478912154,0.0,102,3.0
SOUTH DAKOTA,2007,42.0,26.5552969281046,37.15356000000003,13.780660000000012,423.669378621396,2.769080906022196,2.0,97,6.0
WISCONSIN,2007,40.5,24.960363137254927,34.20257000000004,13.774960000000021,479.4088318927706,3.1333910581226836,0.0,82,3.0
ILLINOIS,2008,47.0,26.170476078431395,33.041830000000004,16.34722000000005,614.2662191272,4.014811889720261,0.0,77,5.0
INDIANA,2008,45.0,25.89392444444447,32.9957,16.3331,511.4038625611404,3.3425089056283683,0.0,87,2.0
IOWA,2008,46.5,25.01964274509806,32.457100000000025,14.123960000000011,563.423320404897,3.6825053621235098,0.0,73,5.0
KANSAS,2008,37.0,28.83206032679741,37.70275000000004,15.660670000000039,491.3268793787786,3.21128679332535,12.0,77,3.0
MINNESOTA,2008,38.0,23.516338431372574,32.15908000000002,12.052900000000022,436.85800968129,2.855281109028039,0.0,86,2.0
MISSOURI,2008,38.0,27.18584294117649,35.96100000000001,17.030100000000004,669.60770361555,4.376520938663726,1.0,71,7.0
NEBRASKA,2008,46.5,26.7474854901961,36.89486000000005,13.713160000000016,415.09020806527,2.713007895851438,3.0,86,4.0
OHIO,2008,36.0,25.4534700653595,32.945730000000026,14.150540000000035,444.70283827199,2.9065544985097387,0.0,90,3.0
SOUTH DAKOTA,2008,34.0,25.02377098039218,34.024500000000046,12.470799999999997,439.413164444679,2.8719814669586863,0.0,87,2.0
WISCONSIN,2008,35.0,23.3777777777778,31.03842000000003,12.975400000000036,405.36443246122,2.649440735040654,0.0,90,4.0
ILLINOIS,2009,46.0,25.43178529411767,32.66265000000004,16.305540000000008,515.9467744735337,3.372201140349893,0.0,81,2.0
INDIANA,2009,49.0,25.026193071895445,32.30044000000004,15.610400000000027,408.523588543006,2.6700888140065753,0.0,85,2.0
IOWA,2009,51.0,24.073317516339895,32.53380000000004,15.572140000000047,562.316318745971,3.675270057163209,0.0,79,4.0
